Date,Close
2020-02-28,70.43094635
2020-03-02,73.97805786
2020-03-03,70.58360291
2020-03-04,71.54445648
2020-03-05,68.41938019
2020-03-06,67.65608978
2020-03-09,63.6060524
2020-03-10,67.23403168
2020-03-11,61.33409882
2020-03-12,55.7664299
2020-03-13,62.78885651
2020-03-16,52.6144104
2020-03-17,52.96464157
2020-03-18,50.58491135
2020-03-19,55.14680099
2020-03-20,52.1115303
2020-03-23,50.78247833
2020-03-24,58.26290894
2020-03-25,59.09804535
2020-03-26,62.77090454
2020-03-27,59.57398987
2020-03-30,60.93897247
2020-03-31,59.03519058
2020-04-01,56.23339462
2020-04-02,58.37066269
2020-04-03,56.61954117
2020-04-06,60.87610245
2020-04-07,61.70225143
2020-04-08,64.27058411
2020-04-09,66.34498596
2020-04-13,64.44120789
2020-04-14,66.15640259
2020-04-15,65.15065002
2020-04-16,66.0127182
2020-04-17,69.23659515
2020-04-20,67.63812256
2020-04-21,65.30330658
2020-04-22,69.55088806
2020-04-23,67.485466
2020-04-24,67.87159729
2020-04-27,69.81130219
2020-04-28,70.66444397
2020-04-29,69.02105713
2020-04-30,68.90431213
2020-05-01,66.26418304
2020-05-04,64.55795288
2020-05-05,65.46494293
2020-05-06,65.51880646
2020-05-07,68.63447571
2020-05-08,70.32323456
2020-05-11,68.5170517
2020-05-12,67.14437103
2020-05-13,66.48511505
2020-05-14,66.9998703
2020-05-15,66.97280121
2020-05-18,68.84217834
2020-05-19,68.50801849
2020-05-20,70.22388458
2020-05-21,70.48578644
2020-05-22,70.0974884
2020-05-26,70.22388458
2020-05-27,70.98249817
2020-05-28,70.92829132
2020-05-29,70.43159485
2020-06-01,70.72962952
2020-06-02,70.24196625
2020-06-03,71.86751556
2020-06-04,71.10892487
2020-06-05,74.17941284
2020-06-08,75.46178436
2020-06-09,74.38712311
2020-06-10,71.35276031
2020-06-11,65.53688812
2020-06-12,68.97763824
2020-06-15,69.5014267
2020-06-16,70.29613495
2020-06-17,69.62786102
2020-06-18,68.91441345
2020-06-19,68.09262085
2020-06-22,68.09262085
2020-06-23,68.17388916
2020-06-24,66.50318909
2020-06-25,66.69281769
2020-06-26,64.63378906
2020-06-29,66.35871124
2020-06-30,66.4580307
2020-07-01,66.8553772
2020-07-02,66.62962341
2020-07-06,68.12874603
2020-07-07,67.05407715
2020-07-08,66.9547348
2020-07-09,66.43997192
2020-07-10,67.0901947
2020-07-13,65.60913086
2020-07-14,65.6813736
2020-07-15,68.28224945
2020-07-16,67.18047333
2020-07-17,66.97280121
2020-07-20,67.69524384
2020-07-21,68.12874603
2020-07-22,69.75428009
2020-07-23,68.05649567
2020-07-24,68.43578339
2020-07-27,69.04989624
2020-07-28,67.40625763
2020-07-29,69.9168396
2020-07-30,69.21243286
2020-07-31,69.11309052
2020-08-03,68.18292999
2020-08-04,67.84876251
2020-08-05,68.43578339
2020-08-06,68.69910431
2020-08-07,68.8171463
2020-08-10,70.34256744
2020-08-11,71.61378479
2020-08-12,71.99513245
2020-08-13,71.74997711
2020-08-14,71.15977478
2020-08-17,71.68642426
2020-08-18,71.72273254
2020-08-19,70.48786163
2020-08-20,70.1155777
2020-08-21,69.97937775
2020-08-24,71.44126892
2020-08-25,75.10956573
2020-08-26,74.82808685
2020-08-27,75.73608398
2020-08-28,77.1798172
2020-08-31,76.69857025
2020-09-01,78.1332016
2020-09-02,80.22158813
2020-09-03,78.52364349
2020-09-04,78.33296204
2020-09-08,77.55209351
2020-09-09,77.96070099
2020-09-10,77.07084656
